artist_id,mbtag,track_id,title,song_id,release,artist_id,artist_mbid,artist_name,duration,artist_familiarity,artist_hotttnesss,year
AR00A6H1187FB5402A,detroit,TRAKWGL12903CB8529,Slum Goddess (Originally Performed by The Fugs),SOASBOZ12AB018DC23,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,218.5922,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,detroit,TRBBZTM12903CB84F3,Bad Reputation (Originally Performed by Thin Lizzy),SOUZOPT12A58A79B94,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,170.4224,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,detroit,TRBCKEE12903CB853A,We Didn't Kill Each Other (But Didn't We Try) [Originally Performed by Dallas Wayne],SOORXAG12AB01886FD,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,216.81587,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,detroit,TRBFMIU12903CB8536,So Long (Originally Performed by Abba),SOSVXWK12AB01886ED,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,211.3824,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,punk,TRAKWGL12903CB8529,Slum Goddess (Originally Performed by The Fugs),SOASBOZ12AB018DC23,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,218.5922,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,punk,TRBBZTM12903CB84F3,Bad Reputation (Originally Performed by Thin Lizzy),SOUZOPT12A58A79B94,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,170.4224,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,punk,TRBCKEE12903CB853A,We Didn't Kill Each Other (But Didn't We Try) [Originally Performed by Dallas Wayne],SOORXAG12AB01886FD,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,216.81587,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,punk,TRBFMIU12903CB8536,So Long (Originally Performed by Abba),SOSVXWK12AB01886ED,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,211.3824,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,michigan,TRAKWGL12903CB8529,Slum Goddess (Originally Performed by The Fugs),SOASBOZ12AB018DC23,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,218.5922,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,michigan,TRBBZTM12903CB84F3,Bad Reputation (Originally Performed by Thin Lizzy),SOUZOPT12A58A79B94,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,170.4224,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,michigan,TRBCKEE12903CB853A,We Didn't Kill Each Other (But Didn't We Try) [Originally Performed by Dallas Wayne],SOORXAG12AB01886FD,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,216.81587,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,michigan,TRBFMIU12903CB8536,So Long (Originally Performed by Abba),SOSVXWK12AB01886ED,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,211.3824,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,usa,TRAKWGL12903CB8529,Slum Goddess (Originally Performed by The Fugs),SOASBOZ12AB018DC23,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,218.5922,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,usa,TRBBZTM12903CB84F3,Bad Reputation (Originally Performed by Thin Lizzy),SOUZOPT12A58A79B94,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,170.4224,0.514064276419,0.395627514317,0
AR00A6H1187FB5402A,usa,TRBCKEE12903CB853A,We Didn't Kill Each Other (But Didn't We Try) [Originally Performed by Dallas Wayne],SOORXAG12AB01886FD,Cover the Earth,AR00A6H1187FB5402A,312c14d9-7897-4608-944a-c5b1c76ae682,The Meatmen,216.81587,0.514064276419,0.395627514317,0
